DeliveryID,DriverID,VehicleID,RouteID,StartTime,DistanceKM,EndTime
36,91.0,12.0,66,2025-05-08 12:28:06,16.0,2025-05-08 12:55:50.964820260
37,60.0,26.0,36,2025-02-04 06:42:13,14.5,2025-02-04 07:01:17.788631260
38,2.0,10.0,151,2025-06-25 16:23:26,12.3,
39,34.0,,139,2023-07-18 18:29:35,10.0,2023-07-18 18:44:08.690300540
40,57.0,1.0,163,2024-09-23 14:09:56,15.9,2024-09-23 14:30:22.046837960
41,16.0,12.0,29,2025-01-29 01:24:46,9.4,2025-01-29 01:40:23.941694260
42,,22.0,61,2023-02-05 19:43:51,16.3,2023-02-05 20:08:07.238754540
43,84.0,29.0,190,2024-12-26 09:09:04,22.7,2024-12-26 09:37:06.326040040
44,,19.0,7,2023-03-07 22:27:44,14.0,2023-03-07 22:49:30.650225360
45,25.0,30.0,19,,9.1,2023-05-25 10:37:33.025074740
46,68.0,28.0,70,2022-11-14 13:32:02,7.8,2022-11-14 13:42:12.427134740
47,32.0,21.0,89,2024-02-28 02:07:43,20.9,2024-02-28 02:42:34.665881560
48,45.0,18.0,123,2023-03-23 08:49:05,19.8,2023-03-23 09:17:37.643739380
49,92.0,41.0,62,2025-03-15 11:45:32,5.3,2025-03-15 11:52:59.654486720
50,40.0,24.0,23,2023-06-05 00:17:30,9.7,2023-06-05 00:35:18.776982540
51,13.0,26.0,53,2023-08-23 03:50:47,12.9,2023-08-23 04:11:05.425643360
52,5.0,36.0,139,2023-07-12 06:47:26,10.0,2023-07-12 07:02:27.403040600
53,17.0,43.0,97,2024-11-15 13:34:05,15.0,
54,71.0,16.0,72,2024-03-20 15:20:56,24.1,2024-03-20 16:07:24.286231400
55,10.0,32.0,114,2022-11-06 11:15:10,11.8,2022-11-06 11:32:18.063361479
56,91.0,2.0,35,2023-11-27 18:43:01,11.0,2023-11-27 18:56:39.610177420
57,59.0,,141,2025-02-28 02:37:39,14.2,2025-02-28 03:00:49.953091260
58,35.0,18.0,198,2024-10-07 00:31:46,16.7,2024-10-07 01:01:21.667208740
59,23.0,,110,,12.7,2025-05-23 21:22:31.717237720
60,56.0,49.0,61,2024-06-17 06:55:06,16.3,2024-06-17 07:23:37.934818979
61,,46.0,167,2025-01-26 08:23:19,5.9,2025-01-26 08:33:26.952315280
62,52.0,45.0,68,2023-03-08 03:37:39,19.8,2023-03-08 04:16:33.177561720
63,27.0,19.0,171,2023-02-16 09:28:43,16.2,2023-02-16 09:59:22.737820960
64,15.0,38.0,128,2025-06-17 12:00:55,13.2,2025-06-17 12:18:08.936055820
65,62.0,12.0,170,2022-11-28 11:17:05,9.4,2022-11-28 11:31:46.014869780
66,6.0,13.0,16,2023-06-26 09:34:42,10.5,2023-06-26 09:51:07.203353100
67,24.0,35.0,121,2023-11-12 23:57:24,6.6,2023-11-13 00:07:43.766519460
68,87.0,48.0,11,2023-11-26 15:33:12,15.6,2023-11-26 16:03:32.111117100
69,5.0,10.0,88,2023-06-01 23:47:41,10.0,2023-06-02 00:02:18.052574600
70,71.0,22.0,104,2023-06-25 15:08:55,23.6,2023-06-25 15:48:50.048496520
71,86.0,10.0,63,2023-05-30 02:22:13,16.6,2023-05-30 02:54:02.382554320
72,93.0,50.0,200,2025-06-16 11:08:59,21.3,2025-06-16 11:35:24.270718820
73,53.0,35.0,119,2024-12-03 19:55:08,18.2,2024-12-03 20:29:45.904750640
74,,45.0,31,2022-11-30 15:05:01,17.5,2022-11-30 15:36:43.565558440
75,35.0,16.0,198,2025-04-09 10:42:46,16.7,2025-04-09 11:05:35.030509420
76,98.0,36.0,24,2023-08-29 21:52:38,7.8,2023-08-29 22:04:01.471428740
77,19.0,11.0,183,2022-09-15 22:49:08,5.5,2022-09-15 22:57:05.994901220
78,34.0,,129,2025-06-22 11:37:26,12.1,2025-06-22 11:54:05.734817960
79,94.0,25.0,166,2024-08-14 10:36:17,12.1,2024-08-14 10:56:59.053212860
80,83.0,1.0,184,2023-11-07 13:20:00,7.2,2023-11-07 13:34:18.065460360
81,82.0,12.0,174,2025-06-13 00:52:48,18.8,2025-06-13 01:17:51.950482439
82,1.0,3.0,134,2024-04-14 17:11:30,15.4,2024-04-14 17:32:50.434004880
83,41.0,9.0,79,2024-03-17 08:14:04,23.7,2024-03-17 08:48:00.729612160
84,53.0,19.0,160,2023-05-29 09:13:02,14.0,2023-05-29 09:40:20.047746200
85,80.0,19.0,82,2022-09-24 10:48:36,15.6,2022-09-24 11:15:07.815203280
86,64.0,50.0,111,2024-04-12 16:35:16,20.8,2024-04-12 17:03:45.927998440
87,40.0,20.0,96,2023-05-20 01:33:28,5.2,2023-05-20 01:43:03.075671260
88,62.0,,140,2023-10-27 18:41:09,14.9,2023-10-27 19:10:01.838552280
89,55.0,24.0,34,,18.9,2024-11-17 06:24:49.802758740
90,92.0,,66,2025-05-17 17:49:15,16.0,2025-05-17 18:10:39.723370980
91,,1.0,172,2025-01-24 11:01:57,9.4,2025-01-24 11:15:33.634349820
92,52.0,44.0,86,2024-11-29 15:34:26,23.4,2024-11-29 16:06:34.663290140
93,96.0,43.0,21,2024-07-09 17:43:37,19.1,2024-07-09 18:09:36.868289920
94,,,198,2023-04-03 15:55:28,16.7,
95,74.0,11.0,6,2024-12-25 23:02:52,24.3,2024-12-25 23:49:03.422177800
96,87.0,8.0,12,2024-11-23 11:50:22,21.7,2024-11-23 12:17:53.860962100
97,48.0,17.0,132,2024-01-10 23:10:28,20.6,2024-01-10 23:41:59.920014820
98,45.0,6.0,7,2023-09-17 12:09:21,14.0,2023-09-17 12:26:18.901964640
99,33.0,7.0,76,2024-12-27 21:11:56,6.4,2024-12-27 21:21:06.931036100
100,64.0,31.0,73,2025-05-31 21:07:53,21.8,2025-05-31 21:46:22.336956020
101,78.0,37.0,7,2025-02-21 20:29:47,14.0,2025-02-21 20:48:51.305628620
102,9.0,4.0,47,2025-05-22 20:24:43,16.2,2025-05-22 20:57:06.012175600
103,78.0,7.0,22,2022-07-28 19:33:13,19.8,2022-07-28 19:57:44.503599760
104,100.0,16.0,155,2022-07-14 07:21:14,13.8,2022-07-14 07:39:18.006781580
105,2.0,25.0,38,2025-01-13 13:44:57,23.3,2025-01-13 14:27:34.647675300
106,75.0,36.0,88,2024-09-27 21:56:21,10.0,2024-09-27 22:16:09.479211180
107,14.0,35.0,14,2024-10-20 10:52:15,13.5,2024-10-20 11:18:45.200428020
108,36.0,14.0,168,2023-06-01 00:42:40,17.9,2023-06-01 01:15:34.644753880
109,,36.0,100,2023-10-22 13:33:38,9.2,2023-10-22 13:51:50.070868700
110,64.0,9.0,101,2022-08-13 06:52:49,14.5,2022-08-13 07:19:58.192936720
111,25.0,11.0,116,2023-04-30 14:00:27,17.7,2023-04-30 14:22:30.697867020
112,97.0,1.0,50,2024-08-17 19:58:15,23.7,2024-08-17 20:42:43.393372200
113,9.0,9.0,32,2024-09-05 12:56:21,14.9,2024-09-05 13:19:59.799410100
114,77.0,25.0,69,2023-11-10 08:59:25,19.7,2023-11-10 09:30:15.305838100
115,43.0,40.0,194,2024-06-22 01:57:33,12.3,2024-06-22 02:12:20.092127880
116,10.0,15.0,87,2025-05-20 23:36:09,9.8,2025-05-20 23:52:46.368970380
117,57.0,,5,2024-12-27 14:38:51,20.3,2024-12-27 15:14:07.015491000
118,33.0,8.0,122,2022-07-20 23:11:32,19.2,2022-07-20 23:46:43.123351640
119,9.0,29.0,40,2023-10-19 23:13:27,7.7,2023-10-19 23:24:41.872223820
120,54.0,7.0,166,2024-01-21 20:27:43,12.1,2024-01-21 20:43:28.619995840
121,13.0,46.0,200,2025-01-25 12:47:35,21.3,2025-01-25 13:20:38.302957760
122,24.0,18.0,190,2022-11-28 22:06:19,22.7,2022-11-28 22:40:08.148929020
123,62.0,3.0,2,2022-09-04 14:09:09,15.8,
124,40.0,47.0,40,2025-06-07 20:08:42,7.7,2025-06-07 20:19:21.200572620
125,59.0,24.0,71,2022-08-05 13:22:50,8.7,2022-08-05 13:34:14.100200900
126,56.0,20.0,178,2023-10-03 09:54:06,12.0,2023-10-03 10:12:43.546837200
127,64.0,,150,2024-05-25 16:33:36,11.5,2024-05-25 16:53:10.650254100
128,60.0,26.0,135,2024-04-30 16:41:14,8.4,2024-04-30 16:53:12.098239220
129,81.0,38.0,125,2022-08-16 03:38:33,13.9,2022-08-16 03:56:30.149805180
130,97.0,47.0,73,2024-09-23 07:26:48,21.8,2024-09-23 08:00:37.091391960
131,23.0,,109,2024-04-27 03:55:50,18.5,2024-04-27 04:32:16.147083320
132,27.0,43.0,163,2023-03-27 00:03:26,15.9,2023-03-27 00:34:49.054405460
133,61.0,8.0,102,2023-08-26 11:03:07,18.7,2023-08-26 11:36:09.516236440
134,44.0,32.0,24,2022-10-19 11:48:04,7.8,2022-10-19 12:02:16.566238360
135,57.0,8.0,164,2023-06-14 18:02:56,16.9,2023-06-14 18:25:57.887423120
136,43.0,5.0,53,2024-09-04 16:26:23,12.9,2024-09-04 16:45:43.785710720
137,62.0,16.0,107,2023-06-08 05:18:41,23.6,2023-06-08 05:58:25.265505500
138,26.0,27.0,154,2022-10-07 06:08:21,24.1,2022-10-07 06:51:44.281948080
139,,39.0,56,2024-01-09 19:26:10,11.2,2024-01-09 19:41:05.977564240
140,75.0,1.0,86,2025-03-14 05:56:59,23.4,2025-03-14 06:33:37.808188100
141,93.0,5.0,89,2025-01-30 11:47:32,20.9,2025-01-30 12:15:20.075194460
142,64.0,3.0,43,,15.7,2025-02-27 03:55:34.699016300
143,69.0,45.0,89,2022-07-16 11:11:34,20.9,2022-07-16 11:49:33.433126300
144,24.0,17.0,41,2024-07-24 23:44:58,9.1,2024-07-25 00:01:57.189140200
145,73.0,33.0,89,2024-10-02 16:49:03,20.9,
146,74.0,19.0,166,2024-09-30 07:31:18,12.1,2024-09-30 07:47:21.631505220
147,11.0,4.0,7,2023-11-11 01:46:52,14.0,2023-11-11 02:12:56.692822180
148,95.0,13.0,40,2025-02-22 17:01:28,7.7,2025-02-22 17:12:45.999382720
149,67.0,50.0,108,2023-01-19 04:32:06,16.3,2023-01-19 05:02:33.503576640
150,89.0,43.0,152,2023-03-12 02:01:49,16.8,
151,53.0,26.0,83,2023-01-17 08:56:59,24.5,2023-01-17 09:35:42.427029380
152,43.0,41.0,150,2023-09-08 11:28:25,11.5,2023-09-08 11:47:31.267593580
153,27.0,31.0,46,2025-04-10 19:44:38,21.1,2025-04-10 20:10:32.365982780
154,1.0,35.0,23,2025-01-06 12:28:14,9.7,2025-01-06 12:46:53.160189620
155,49.0,16.0,84,2022-11-16 16:01:22,21.3,2022-11-16 16:35:38.601856060
156,48.0,24.0,84,2023-01-13 01:26:46,21.3,2023-01-13 01:55:35.943505360
157,80.0,30.0,135,,8.4,2024-05-15 00:04:55.639369480
158,99.0,17.0,162,2023-08-03 12:10:35,23.5,2023-08-03 12:51:41.426415440
159,79.0,13.0,139,2024-08-26 19:42:59,10.0,2024-08-26 19:55:38.231897600
160,98.0,38.0,171,2024-12-19 06:11:46,16.2,2024-12-19 06:36:54.405368619
161,53.0,7.0,72,2023-01-18 16:32:04,24.1,2023-01-18 17:11:24.191838280
162,11.0,9.0,102,2024-02-16 21:08:52,18.7,2024-02-16 21:34:47.658454240
163,9.0,21.0,139,2025-03-18 02:42:52,10.0,2025-03-18 02:55:54.015929440
164,61.0,30.0,43,2022-08-20 16:30:01,15.7,2022-08-20 16:55:01.196447980
165,88.0,37.0,25,2022-10-04 19:50:38,21.3,2022-10-04 20:21:59.551111580
166,99.0,37.0,31,2024-02-06 10:42:47,17.5,2024-02-06 11:05:44.802960380
167,22.0,22.0,154,2023-05-19 16:34:07,24.1,2023-05-19 17:07:05.560182460
168,71.0,47.0,71,2024-10-25 15:16:57,8.7,2024-10-25 15:30:40.064410920
169,44.0,31.0,173,2024-02-10 21:41:40,14.3,2024-02-10 22:00:20.925793060
170,30.0,4.0,186,2024-07-27 17:49:03,11.6,2024-07-27 18:11:39.431244000
171,60.0,10.0,64,2023-05-22 01:50:23,8.0,2023-05-22 02:04:56.775035060
172,93.0,30.0,20,2023-01-04 02:04:38,5.7,2023-01-04 02:12:57.472624220
173,55.0,30.0,79,2025-02-27 19:58:13,23.7,2025-02-27 20:31:33.305514940
174,39.0,41.0,80,2023-07-14 06:23:02,14.8,2023-07-14 06:51:08.699528060
175,41.0,7.0,99,2024-03-24 02:07:34,22.9,
176,9.0,15.0,190,2024-10-26 16:03:08,22.7,2024-10-26 16:46:02.417340680
177,1.0,19.0,189,2022-09-26 21:17:47,13.6,2022-09-26 21:42:10.875522800
178,3.0,10.0,54,2022-09-11 21:35:12,11.4,2022-09-11 21:49:43.206974100
179,69.0,39.0,35,2024-08-28 03:44:28,11.0,2024-08-28 04:04:49.582878700
180,11.0,27.0,104,2024-04-21 10:11:42,23.6,2024-04-21 10:50:12.777245820
181,4.0,3.0,112,2023-09-30 08:50:11,15.0,2023-09-30 09:16:18.872101160
182,33.0,35.0,34,2022-07-22 20:39:44,18.9,2022-07-22 21:05:43.480851860
183,33.0,18.0,103,2023-02-08 10:38:02,16.3,2023-02-08 10:57:35.811698240
184,45.0,24.0,125,,13.9,2024-01-31 00:55:18.436695820
185,20.0,13.0,129,2023-11-05 12:31:36,12.1,2023-11-05 12:47:57.916358100
186,37.0,44.0,9,2024-02-10 18:26:53,7.7,2024-02-10 18:38:48.256023800
187,84.0,17.0,105,2024-03-08 11:26:47,24.2,2024-03-08 11:57:34.986897320
188,98.0,17.0,94,,6.9,2022-10-21 03:10:48.239334800
189,21.0,11.0,21,2023-03-18 10:17:33,19.1,2023-03-18 10:42:17.046045480
190,58.0,17.0,22,2023-11-07 12:30:01,19.8,2023-11-07 13:05:52.881358000
191,51.0,49.0,108,2023-04-26 22:42:44,16.3,2023-04-26 23:14:32.527513580
192,71.0,19.0,90,2023-02-17 08:55:16,24.2,2023-02-17 09:27:10.582186540
193,16.0,7.0,159,2025-01-03 08:25:21,19.3,2025-01-03 08:53:51.576101580
194,96.0,19.0,37,2024-09-09 11:22:15,22.2,2024-09-09 12:01:52.420187340
195,36.0,34.0,176,2024-06-27 09:36:03,10.9,2024-06-27 09:55:21.606559260
196,50.0,29.0,130,2023-08-30 13:07:37,17.0,2023-08-30 13:28:31.514361040
197,75.0,30.0,104,2024-01-06 06:27:34,23.6,2024-01-06 06:57:13.282225360
198,48.0,42.0,144,2025-01-04 04:28:58,13.8,2025-01-04 04:46:51.180492460
199,29.0,29.0,50,2023-07-12 11:24:22,23.7,2023-07-12 12:03:34.581674320
200,,38.0,125,2024-12-26 16:04:00,13.9,2024-12-26 16:21:17.524761960
201,98.0,48.0,23,2022-12-27 03:12:08,9.7,2022-12-27 03:28:20.363671760
202,59.0,8.0,124,2024-09-26 00:43:50,7.1,2024-09-26 00:54:17.911044020
203,,4.0,99,2025-02-09 18:55:51,22.9,2025-02-09 19:35:35.615948400
204,74.0,28.0,6,2024-05-11 04:28:51,24.3,2024-05-11 05:13:12.774177900
205,67.0,11.0,189,2025-07-04 23:05:24,13.6,2025-07-04 23:30:19.825478640
206,22.0,18.0,36,2022-10-10 10:03:57,14.5,2022-10-10 10:21:47.193837660
207,96.0,21.0,150,2024-06-08 09:27:31,11.5,2024-06-08 09:50:01.851820540
208,84.0,47.0,190,2023-07-12 00:48:24,22.7,2023-07-12 01:26:17.609794080
209,2.0,48.0,139,2025-05-24 02:14:39,10.0,2025-05-24 02:33:48.935565840
210,8.0,40.0,122,2023-01-18 21:29:11,19.2,2023-01-18 22:01:40.317799160
211,41.0,32.0,77,2023-05-16 10:19:19,9.4,2023-05-16 10:34:14.233602940
212,89.0,17.0,173,2025-03-08 10:32:32,14.3,2025-03-08 10:58:02.485721899
213,11.0,34.0,56,2024-02-21 05:14:08,11.2,2024-02-21 05:29:32.360870960
214,24.0,17.0,173,2024-08-29 21:11:26,14.3,2024-08-29 21:29:46.454479460
215,26.0,15.0,172,2024-01-13 06:34:23,9.4,
216,35.0,20.0,94,2025-03-24 07:11:12,6.9,2025-03-24 07:24:10.033865880
217,,39.0,105,2023-01-28 09:44:51,24.2,2023-01-28 10:31:33.295870320
218,15.0,11.0,129,2023-09-20 13:40:27,12.1,2023-09-20 14:02:51.211650600
219,14.0,19.0,28,2024-10-22 08:53:10,22.5,2024-10-22 09:36:26.788321360
220,37.0,32.0,4,2023-12-01 03:59:29,10.7,2023-12-01 04:20:45.180828920
221,18.0,24.0,132,,20.6,2023-05-04 04:49:18.367020460
222,76.0,6.0,78,2024-08-23 06:09:20,6.2,2024-08-23 06:17:32.194857560
223,67.0,18.0,87,2024-06-29 19:45:57,9.8,2024-06-29 20:02:28.568634480
224,46.0,41.0,58,2025-01-25 18:59:44,21.1,2025-01-25 19:31:01.623103520
225,97.0,48.0,111,,20.8,2023-06-10 10:31:41.494278700
226,68.0,13.0,42,2024-09-10 06:33:07,23.4,2024-09-10 07:14:49.274070100
227,57.0,26.0,196,2022-09-16 00:30:22,15.6,2022-09-16 00:50:13.079235220
228,40.0,8.0,193,2024-12-01 00:31:31,16.5,2024-12-01 00:51:48.724955560
229,90.0,26.0,40,2023-06-26 14:11:43,7.7,2023-06-26 14:25:14.373443320
230,85.0,49.0,74,2023-07-17 13:10:00,6.0,2023-07-17 13:18:27.090178200
231,45.0,14.0,135,2023-11-26 04:09:16,8.4,2023-11-26 04:21:56.234081920
232,16.0,41.0,130,2024-02-25 22:53:59,17.0,2024-02-25 23:18:34.028515700
233,62.0,6.0,34,2024-11-12 07:17:32,18.9,2024-11-12 07:49:30.583944260
234,23.0,16.0,118,2024-12-15 14:27:28,13.6,2024-12-15 14:45:28.067743960
235,88.0,,120,2024-07-01 18:28:56,10.9,2024-07-01 18:48:17.811670100
236,73.0,34.0,51,2024-07-09 17:29:23,19.9,2024-07-09 18:07:59.290228940
237,83.0,40.0,12,2024-02-25 07:17:49,21.7,2024-02-25 07:58:22.290809500
238,91.0,27.0,56,2024-03-06 07:25:21,11.2,
239,95.0,36.0,76,2023-09-21 17:24:40,6.4,2023-09-21 17:37:08.668167220
240,51.0,12.0,16,2022-09-15 19:50:11,10.5,2022-09-15 20:05:54.656427920
241,1.0,1.0,136,2023-10-05 22:07:48,10.4,2023-10-05 22:26:54.033498300
242,77.0,29.0,170,,9.4,
243,45.0,17.0,6,2024-09-18 23:20:04,24.3,2024-09-18 23:54:28.263425320
244,4.0,18.0,177,2023-10-07 23:04:39,21.6,
245,55.0,49.0,139,2025-03-01 19:13:45,10.0,2025-03-01 19:27:42.181716900
246,89.0,16.0,190,2023-06-14 02:54:46,22.7,2023-06-14 03:23:59.842538860
247,10.0,35.0,158,2025-02-04 23:54:57,9.8,2025-02-05 00:12:14.053040460
248,87.0,9.0,138,,11.0,2022-08-23 02:27:51.829047200
249,30.0,44.0,87,2024-01-31 08:50:21,9.8,2024-01-31 09:04:30.504191340
250,14.0,39.0,18,2023-07-25 15:32:33,17.3,2023-07-25 16:05:30.284400840
251,96.0,38.0,62,2023-04-13 02:45:13,5.3,2023-04-13 02:52:09.081178960
252,30.0,43.0,9,2024-06-22 15:19:46,7.7,2024-06-22 15:33:43.087088200
253,,,73,2023-02-26 23:53:07,21.8,
254,15.0,26.0,114,2023-01-05 22:11:53,11.8,2023-01-05 22:34:28.401062780
255,17.0,17.0,134,2022-11-22 17:41:58,15.4,2022-11-22 18:05:52.302433300
256,48.0,24.0,80,2022-07-23 19:09:53,14.8,2022-07-23 19:32:29.169861680
257,97.0,10.0,76,2025-03-28 13:53:24,6.4,2025-03-28 14:03:16.854869400
258,76.0,32.0,130,2024-03-12 08:20:43,17.0,2024-03-12 08:52:30.555412060
259,25.0,3.0,154,2023-05-24 15:41:03,24.1,2023-05-24 16:10:10.358205660
260,19.0,19.0,9,2023-12-16 11:21:19,7.7,2023-12-16 11:34:53.917372120
261,59.0,35.0,5,,20.3,2022-11-15 04:58:47.586161940
262,53.0,27.0,92,2024-12-14 16:02:16,11.0,2024-12-14 16:23:13.762273060
263,87.0,25.0,94,2023-07-21 08:13:05,6.9,2023-07-21 08:23:26.306907860
264,39.0,21.0,145,2025-01-07 02:27:57,24.5,2025-01-07 03:03:59.611759380
265,5.0,2.0,62,2025-04-25 23:04:06,5.3,2025-04-25 23:13:28.891642860
266,40.0,20.0,47,2025-04-16 06:47:07,16.2,2025-04-16 07:15:55.176354340
267,85.0,23.0,39,2023-04-16 18:42:10,24.4,2023-04-16 19:23:49.002302800
268,58.0,33.0,128,2024-07-31 15:33:05,13.2,2024-07-31 15:52:24.366493040
269,100.0,50.0,59,2024-03-03 22:11:07,20.2,2024-03-03 22:45:13.198318960
270,78.0,8.0,6,2023-11-15 20:17:18,24.3,2023-11-15 20:47:30.895771680
271,6.0,,196,2024-07-24 10:58:22,15.6,2024-07-24 11:29:00.438641260
272,19.0,42.0,115,2022-10-28 16:53:10,12.9,2022-10-28 17:13:19.119153940
273,68.0,30.0,166,2025-03-21 13:39:34,12.1,2025-03-21 13:57:02.040678280
274,24.0,31.0,184,2024-01-08 23:50:48,7.2,2024-01-09 00:04:23.885216940
275,90.0,41.0,142,2024-04-30 01:14:44,5.1,2024-04-30 01:22:10.557302240
276,19.0,18.0,80,2025-01-12 01:42:14,14.8,2025-01-12 02:11:47.991999380
277,59.0,31.0,182,2023-09-30 19:06:15,6.3,2023-09-30 19:17:17.437303260
278,61.0,26.0,101,2023-10-21 11:15:14,14.5,2023-10-21 11:40:10.106313020
279,32.0,,160,2025-06-03 00:51:06,14.0,2025-06-03 01:09:36.047608380
280,45.0,5.0,159,2023-12-30 17:54:18,19.3,2023-12-30 18:26:52.576807140
281,35.0,11.0,197,2023-11-27 01:57:03,16.9,2023-11-27 02:19:25.637346540
282,,24.0,145,2023-01-21 04:06:44,24.5,2023-01-21 04:51:29.518488140
283,2.0,1.0,4,2025-01-06 00:08:36,10.7,2025-01-06 00:22:37.483470840
284,97.0,12.0,107,2024-05-25 08:50:06,23.6,2024-05-25 09:25:11.685689820
285,74.0,38.0,6,2022-11-22 09:09:01,24.3,2022-11-22 09:47:26.661119440
286,45.0,23.0,192,2023-10-01 05:07:53,9.1,2023-10-01 05:24:39.908548580
287,33.0,44.0,158,2025-03-20 17:58:12,9.8,2025-03-20 18:14:55.250397720
288,23.0,25.0,119,2024-10-12 23:31:56,18.2,2024-10-13 00:04:39.824286260
289,98.0,12.0,75,2023-04-08 17:00:28,7.7,2023-04-08 17:11:12.572831200
290,36.0,3.0,91,2024-11-27 03:12:38,9.9,2024-11-27 03:26:23.547590720
291,94.0,24.0,9,2023-09-03 09:08:10,7.7,2023-09-03 09:19:45.077128300
292,69.0,26.0,152,2024-03-12 20:12:25,16.8,2024-03-12 20:32:49.664252860
293,85.0,15.0,20,2023-05-25 05:05:07,5.7,
294,80.0,31.0,13,,14.3,2024-01-15 16:02:18.546483880
295,71.0,43.0,55,2025-04-20 05:25:27,14.3,2025-04-20 05:43:22.968816840
296,9.0,42.0,92,,11.0,2022-08-22 08:45:58.529765640
297,88.0,21.0,96,2023-07-01 03:15:33,5.2,2023-07-01 03:25:48.969470100
298,49.0,21.0,101,2022-09-22 21:37:43,14.5,2022-09-22 22:02:37.022838340
299,26.0,21.0,19,2024-07-15 20:41:54,9.1,2024-07-15 20:55:24.957758820
300,96.0,48.0,47,2023-02-10 05:30:07,16.2,2023-02-10 05:54:55.137432760
301,27.0,25.0,71,2023-07-16 10:06:12,8.7,2023-07-16 10:18:25.370605080
302,41.0,12.0,67,2023-10-23 16:11:15,10.1,2023-10-23 16:29:07.026290040
303,,48.0,40,2023-03-13 18:00:14,7.7,2023-03-13 18:11:40.004239160
304,72.0,37.0,94,2022-09-16 11:35:10,6.9,2022-09-16 11:43:37.558632340
305,6.0,18.0,58,2023-06-23 19:29:12,21.1,2023-06-23 19:55:17.953057020
306,83.0,10.0,31,2023-05-08 13:32:25,17.5,2023-05-08 14:02:01.389633640
307,87.0,6.0,45,2023-09-13 23:29:44,17.1,2023-09-13 23:54:13.547193200
308,66.0,29.0,104,2025-06-17 08:22:24,23.6,2025-06-17 08:53:54.180607860
309,61.0,29.0,54,2024-02-17 10:41:27,11.4,2024-02-17 11:00:10.054155360
310,67.0,29.0,73,2024-01-11 19:34:36,21.8,2024-01-11 20:05:36.955947599
311,,46.0,98,2024-12-02 09:14:18,20.7,2024-12-02 09:40:21.265948620
312,77.0,46.0,155,2023-02-11 10:31:36,13.8,2023-02-11 10:50:17.828975460
313,96.0,9.0,52,2025-01-18 12:07:10,18.9,2025-01-18 12:41:36.516976300
